snapshot_month,reference,family,msrp_usd,avg_median_price_usd,avg_listing_count,avg_markup_pct,ad_count_us,ad_count_mom_change,avg_price_mom_change_pct
2022-01-01,126710BLRO,GMT-Master II,10900,30094.0,152.5,179.94,319,-15,16.24
2022-01-01,226570,Explorer II,9650,15114.88,141.75,59.1,319,-15,5.01
2022-02-01,116500LN,Daytona,14800,53864.12,178.5,270.2,319,0,
2022-02-01,124060,Submariner,9100,17758.75,120.5,98.42,319,0,6.97
2022-02-01,124270,Explorer,7250,11357.88,130.75,57.75,319,0,2.07
2022-02-01,124300,Oyster Perpetual,6400,22159.5,387.75,260.32,319,0,8.22
2022-02-01,126610LN,Submariner Date,10250,19943.62,178.25,97.46,319,0,7.78
2022-02-01,126610LV,Submariner Date,10800,28009.25,148.75,164.24,319,0,10.81
2022-02-01,126710BLNR,GMT-Master II,10900,28014.88,221.25,160.6,319,0,11.53
2022-02-01,126710BLRO,GMT-Master II,10900,34249.5,160.5,218.6,319,0,13.81
2022-02-01,226570,Explorer II,9650,15937.88,115.5,67.77,319,0,5.44
2022-03-01,116500LN,Daytona,14800,54777.38,216.75,276.48,318,-1,1.7
2022-03-01,124060,Submariner,9100,17936.5,144.75,100.41,318,-1,1.0
2022-03-01,124270,Explorer,7250,11210.38,131.75,55.7,318,-1,-1.3
2022-03-01,124300,Oyster Perpetual,6400,21351.12,494.75,247.17,318,-1,-3.65
2022-03-01,126610LN,Submariner Date,10250,20065.25,222.5,98.67,318,-1,0.61
