snapshot_month,state,dealer_count
2021-11-01,New Jersey,10
2021-11-01,New Mexico,1
2021-11-01,New York,25
2021-11-01,North Carolina,9
2021-11-01,North Dakota,1
2021-11-01,Ohio,8
2021-11-01,Oklahoma,6
2021-11-01,Oregon,5
2021-11-01,Pennsylvania,17
2021-11-01,Rhode Island,1
2021-11-01,South Carolina,6
2021-11-01,Tennessee,5
2021-11-01,Texas,29
2021-11-01,Utah,2
2021-11-01,Vermont,1
2021-11-01,Virginia,9
2021-11-01,Washington,5
2021-11-01,Wisconsin,4
2021-12-01,Alabama,3
2021-12-01,Alaska,1
2021-12-01,Arizona,5
2021-12-01,Arkansas,4
2021-12-01,California,36
2021-12-01,Colorado,6
2021-12-01,Columbia,1
2021-12-01,Connecticut,8
2021-12-01,Delaware,2
2021-12-01,Florida,29
2021-12-01,Georgia,6
2021-12-01,Hawaii,5
2021-12-01,Idaho,1
2021-12-01,Illinois,15
2021-12-01,Indiana,4
2021-12-01,Iowa,2
2021-12-01,Kansas,2
2021-12-01,Kentucky,2
2021-12-01,Louisiana,11
2021-12-01,Maine,1
2021-12-01,Maryland,3
2021-12-01,Massachusetts,8
2021-12-01,Michigan,11
2021-12-01,Minnesota,6
2021-12-01,Mississippi,2
2021-12-01,Missouri,6
2021-12-01,Montana,1
2021-12-01,Nebraska,1
2021-12-01,Nevada,7
2021-12-01,New Hampshire,2
2021-12-01,New Jersey,10
2021-12-01,New Mexico,1
2021-12-01,New York,25
2021-12-01,North Carolina,9
2021-12-01,North Dakota,1
2021-12-01,Ohio,8
2021-12-01,Oklahoma,6
2021-12-01,Oregon,5
2021-12-01,Pennsylvania,17
2021-12-01,Rhode Island,1
2021-12-01,South Carolina,6
2021-12-01,Tennessee,5
2021-12-01,Texas,28
2021-12-01,Utah,2
2021-12-01,Vermont,1
2021-12-01,Virginia,9
2021-12-01,Washington,5
2021-12-01,Wisconsin,4
2022-01-01,Alabama,3
2022-01-01,Alaska,1
2022-01-01,Arizona,5
2022-01-01,Arkansas,4
2022-01-01,California,35
2022-01-01,Colorado,6
2022-01-01,Columbia,1
2022-01-01,Connecticut,7
2022-01-01,Delaware,1
2022-01-01,Florida,28
2022-01-01,Georgia,6
2022-01-01,Hawaii,5
2022-01-01,Idaho,1
2022-01-01,Illinois,14
2022-01-01,Indiana,4
2022-01-01,Iowa,2
2022-01-01,Kansas,1
2022-01-01,Kentucky,2
2022-01-01,Louisiana,11
2022-01-01,Maine,1
2022-01-01,Maryland,3
2022-01-01,Massachusetts,7
2022-01-01,Michigan,11
2022-01-01,Minnesota,6
2022-01-01,Mississippi,2
2022-01-01,Missouri,6
2022-01-01,Montana,1
2022-01-01,Nebraska,1
2022-01-01,Nevada,7
2022-01-01,New Hampshire,2
2022-01-01,New Jersey,10
2022-01-01,New Mexico,1
2022-01-01,New York,23
2022-01-01,North Carolina,9
2022-01-01,North Dakota,1
2022-01-01,Ohio,8
2022-01-01,Oklahoma,5
